x,y,z,vx,vy,vz,ax,ay,az,v_mag,a_mag
-13.15045,5.7819,21.44469,1.007062,0.02928458,0.1054399,0.0805292,-0.1920092,0.04996059,1.01299,0.2141228
-13.12961,5.782493,21.44684,1.035384,0.02909689,0.1128538,0.05357849,-0.1817722,0.04680844,1.041923,0.1951994
-13.10821,5.783083,21.44922,1.063495,0.02892751,0.1205804,0.02691445,-0.1716609,0.0435962,1.0707,0.1791437
-13.08628,5.783608,21.45182,1.090968,0.02568819,0.1283838,0.003397625,-0.1561139,0.03898508,1.098796,0.1609439
-13.06382,5.784069,21.45465,1.118266,0.0224697,0.1362858,-0.01985301,-0.1407443,0.03435637,1.126765,0.1462309
-13.04083,5.784467,21.45771,1.14541,0.01927304,0.1441877,-0.04289047,-0.1255434,0.02970414,1.15461,0.1359524
-13.01731,5.784801,21.46099,1.172419,0.01609921,0.1519921,-0.06566519,-0.1105154,0.02502238,1.182339,0.1309644
-12.99327,5.785073,21.46449,1.199314,0.01294899,0.1596025,-0.08823121,-0.09565233,0.02031882,1.209957,0.1317079
-12.96865,5.785258,21.46806,1.22593,0.008479208,0.1668727,-0.06784508,-0.08435859,0.03147231,1.237264,0.1127379
-12.94348,5.785356,21.47171,1.252414,0.00403583,0.1739274,-0.04768161,-0.0731512,0.04254163,1.264439,0.09713097
-12.91774,5.785368,21.47544,1.278723,-0.000378415,0.1808379,-0.02775188,-0.06202719,0.05350234,1.291447,0.08648723
-12.89145,5.785295,21.47923,1.30482,-0.004760817,0.1876745,-0.008039438,-0.05098817,0.06437144,1.318256,0.08251127
-12.86461,5.785136,21.4831,1.330662,-0.009108692,0.1945067,0.0114433,-0.04003194,0.07515825,1.344833,0.08592012
-12.83724,5.784868,21.4871,1.356041,-0.01469208,0.2013577,0.01225263,-0.02649451,0.07955761,1.370988,0.08474372
-12.80936,5.784491,21.49123,1.381113,-0.02023703,0.2082687,0.01301576,-0.01309042,0.08390985,1.396874,0.08591642
-12.78097,5.784005,21.49549,1.405863,-0.02574198,0.2152359,0.01374078,0.0001807277,0.08822194,1.422477,0.0892858
-12.75207,5.783412,21.49989,1.430277,-0.03120548,0.2222554,0.01446404,0.01331576,0.09249768,1.447778,0.09456395
-12.72268,5.782712,21.50442,1.454339,-0.03662618,0.2293237,0.0151495,0.02632006,0.09674335,1.472764,0.1013979
-12.69273,5.781937,21.50913,1.478158,-0.04102412,0.2364736,0.003073239,0.01240232,0.1239797,1.497516,0.1246364
-12.66223,5.781086,21.51403,1.501503,-0.04536402,0.2436295,-0.008862851,-0.001404898,0.1509343,1.521816,0.1512008
-12.6312,5.780163,21.51912,1.524268,-0.04963306,0.2507521,-0.02065396,-0.01510369,0.1776344,1.545553,0.1794678
-12.59964,5.77917,21.52439,1.546349,-0.05381951,0.2578021,-0.03228723,-0.02869605,0.2040742,1.568616,0.2085958
-12.56757,5.77811,21.52983,1.567643,-0.05791292,0.2647406,-0.04374907,-0.04218367,0.230238,1.590894,0.2381239
-12.53514,5.776983,21.53546,1.588125,-0.06115337,0.271555,-0.05757925,-0.03608255,0.2176407,1.612335,0.2280018
-12.50235,5.775794,21.54126,1.607762,-0.06429875,0.2781616,-0.07129597,-0.03011581,0.2051494,1.632914,0.2192632
-12.46922,5.774541,21.54722,1.626604,-0.06735598,0.2845045,-0.08489215,-0.02428238,0.1927784,1.65267,0.2120373
-12.43577,5.773228,21.55334,1.644697,-0.07033148,0.2905284,-0.09837573,-0.01857946,0.1805108,1.67164,0.206415
-12.40201,5.771855,21.55962,1.66209,-0.07323147,0.2961785,-0.111733,-0.01300623,0.1683538,1.689861,0.2024757
-12.36789,5.770427,21.56599,1.67881,-0.076305,0.3013946,-0.1114176,0.001066591,0.1760173,1.707356,0.2083197
-12.33342,5.768946,21.57245,1.694851,-0.07930973,0.3061798,-0.1111393,0.01501564,0.1835639,1.72411,0.2151118
