x,y,z,vx,vy,vz,ax,ay,az,v_mag,a_mag
0.1980729,0.09160839,0.03903987,0.4891934,0.3189279,0.1275942,0.132842,0.183694,0.1963834,0.5977503,0.2999282
0.2087076,0.09795842,0.04121025,0.4966566,0.3231283,0.1329581,0.1610481,0.200872,0.184912,0.6072541,0.3169834
0.2194519,0.1043784,0.04341201,0.5034015,0.3273368,0.1389389,0.1888635,0.2180178,0.1734982,0.6163331,0.3366049
0.2302919,0.1108694,0.04566035,0.5094786,0.3315435,0.1456488,0.2162924,0.2351304,0.1621432,0.6250625,0.3582724
0.2412566,0.1175218,0.04810616,0.5150248,0.3388734,0.1533166,0.2011969,0.1599084,0.1831151,0.6352888,0.3155662
0.2523324,0.1243352,0.05076607,0.5198515,0.3461899,0.1617868,0.1865917,0.08530129,0.2036245,0.6451884,0.28906
0.2635041,0.1313092,0.05365568,0.5238644,0.3534914,0.1710089,0.1724676,0.01130662,0.2236776,0.6547016,0.282674
0.274754,0.1384432,0.05678973,0.5269693,0.3607757,0.1809321,0.1588174,-0.0620779,0.2432798,0.6637712,0.2970887
0.2860623,0.1457368,0.06018188,0.5290713,0.3680402,0.1915049,0.1456332,-0.1348547,0.2624391,0.6723423,0.3290428
0.2971365,0.1532057,0.06382182,0.5300834,0.3767452,0.2027548,0.1369419,-0.0729184,0.1674325,0.681201,0.2282626
0.3079641,0.1608466,0.06771927,0.5303925,0.3854209,0.2145669,0.1282693,-0.01137305,0.07353201,0.6898583,0.148288
0.3185412,0.1686577,0.07188411,0.5303976,0.3940659,0.2269045,0.1196147,0.04978254,-0.01927511,0.6986381,0.1309867
0.3288714,0.1766383,0.0763265,0.5304942,0.4026806,0.2397321,0.1109785,0.1105494,-0.1110003,0.7078469,0.1919856
0.3389665,0.1847894,0.0810567,0.5310743,0.4112657,0.2530135,0.1023621,0.170929,-0.2016554,0.7177711,0.2834777
0.3490631,0.1930927,0.08614441,0.5325136,0.4180116,0.2665898,0.0769124,0.09282147,-0.1961387,0.7275813,0.230221
0.3591785,0.2015473,0.09159424,0.5347744,0.4247291,0.2804747,0.05142354,0.01558599,-0.1907487,0.7382714,0.1981726
0.3693291,0.2101521,0.09740873,0.5378137,0.4314221,0.2945676,0.02590038,-0.06078565,-0.1854841,0.749759,0.1969012
0.3795299,0.218907,0.1035883,0.5415884,0.4380952,0.3087696,0.0003456097,-0.1363021,-0.1803416,0.7619606,0.2260563
0.3897946,0.2278115,0.1101312,0.546056,0.4447532,0.3229843,-0.02523701,-0.2109717,-0.1753204,0.7747912,0.2754691
0.4002443,0.236821,0.1170155,0.5511224,0.4493101,0.3369711,-0.04632913,-0.150105,-0.1589282,0.7868704,0.2234638
0.4108897,0.2459349,0.1242384,0.5567852,0.4538627,0.350788,-0.06706733,-0.08976593,-0.1428173,0.7994081,0.1815289
0.4217413,0.2551528,0.131795,0.5629967,0.4584168,0.3643463,-0.08745555,-0.02995046,-0.1269849,0.8123174,0.157069
0.4328084,0.2644744,0.139678,0.5697102,0.4629779,0.3775573,-0.1074991,0.02934522,-0.1114266,0.8255106,0.1575851
0.4440999,0.2738998,0.1478785,0.5768787,0.4675514,0.3903326,-0.127202,0.08812502,-0.09613811,0.8388998,0.1821782
0.4557196,0.283505,0.1564161,0.5845898,0.4757096,0.4028017,-0.15585,0.06227696,-0.03510717,0.8545725,0.1714647
0.4676688,0.293291,0.1652763,0.5924597,0.4839002,0.4146241,-0.1841545,0.0368957,0.02542833,0.870104,0.1895277
0.4799436,0.3032596,0.1744429,0.600234,0.492137,0.4256879,-0.2121186,0.0119749,0.08547117,0.8852625,0.2290044
0.4925349,0.3134141,0.1838973,0.6076613,0.5004318,0.4358824,-0.2397469,-0.01249141,0.1450243,0.8998209,0.2804757
0.5054284,0.3237581,0.1936191,0.614493,0.5087938,0.445098,-0.2670435,-0.03650941,0.2040906,0.9135562,0.3380801
0.5181255,0.3341278,0.2031574,0.6203724,0.5134408,0.4530751,-0.1552553,-0.05708725,0.1064184,0.9239915,0.1966928
0.5306219,0.3445191,0.2125031,0.6258155,0.5181236,0.4604349,-0.04443131,-0.07752351,0.009913157,0.9338616,0.08990165
0.5429205,0.3549324,0.2216556,0.6312074,0.522814,0.4676247,0.06543642,-0.0978184,-0.08543824,0.943626,0.1454306
0.5550321,0.3653707,0.2306221,0.6369283,0.5274854,0.4750882,0.1743558,-0.1179727,-0.1796503,0.9537438,0.2767521
0.5669749,0.3758406,0.2394178,0.6433524,0.5321076,0.4832664,0.2823341,-0.1379884,-0.272735,0.9646695,0.4160982
0.5791987,0.3864848,0.2487324,0.6508656,0.5371263,0.4926201,0.1733192,-0.1425999,-0.2296811,0.9771413,0.321135
0.5917189,0.3972961,0.2585782,0.6592752,0.5420748,0.5026938,0.06525321,-0.1468166,-0.1873806,0.9905503,0.2468291
0.6045475,0.4082701,0.2689588,0.6684086,0.546977,0.5130558,-0.04186931,-0.1506445,-0.1458229,1.00458,0.2138016
0.6176925,0.4194053,0.2798684,0.6780974,0.5518605,0.5232778,-0.148055,-0.1540901,-0.1049967,1.018914,0.2380932
0.6311588,0.4307034,0.2912926,0.6881779,0.5567526,0.5329347,-0.2533097,-0.1571612,-0.06489401,1.033239,0.3050847
0.6450799,0.4419924,0.3025666,0.6983942,0.5597968,0.5415238,-0.1476784,-0.116867,0.008926474,1.046124,0.1885377
0.6594537,0.4532709,0.3136841,0.7085555,0.5628674,0.5495482,-0.04328193,-0.07674088,0.08213525,1.058713,0.120452
